TICKER,CCVM,NAME,FATOR_UNIT,
SLCE3,20745,SLC,,
SMFT3,24260,SMARTFIT,,
SMTO3,20516,SAO MARTINHO,,
SOJA3,25704,BOA SAFRA,,
SRNA3,26441,SERENA,,
STBP3,17892,SANTOS BRASIL,,
SUZB3,13986,SUZANO,,
SYNE3,21040,SYN PROPTEC,,
TAEE11,20257,TAESA,3,
TASA4,6173,TAURUS,,
TECN3,22519,TECHNOS,,
TEND3,21148,TENDA,,
TFCO4,25208,TRACK AND FIELD,,
TGMA3,20800,TEGMA,,
TIMS3,24929,TIM,,
TOTS3,19992,TOTVS,,
TRIS3,21130,TRISUL,,
TRPL4,18376,ISA CTEEP,,
TTEN3,25950,TRES TENTOS,,
TUPY3,6343,TUPY,,
UGPA3,18465,ULTRAPAR,,
UNIP6,11592,UNIPAR,,
USIM5,14320,USIMINAS,,
VALE3,4170,VALE,,
VAMO3,24716,VAMOS,,
VBBR3,24295,VIBRA,,
VITT3,25763,VITTIA,,
VIVA3,24805,VIVARA,,
VIVT3,17671,TELEF BRASIL,,
VLID3,20028,VALID,,
VULC3,11762,VULCABRAS,,
WEGE3,5410,WEG,,
WEST3,25518,WESTWING,,
WHRL4,14346,WHIRLPOOL,,
WIZC3,23590,WIZ,,
YDUQ3,21016,YDUQS,,
