Nome,Ticker,Outro
Util. Pública,UTIL,
Financeiro,IFNC,
Imobiliário,IMOB,
Consumo,ICON,
Industrial,INDX,
Mat. Básicos,MATB11,
Ibovespa,BVSP.INDX,
Small Caps,SMLL,SMAC11
