Nome,Ticker,Ticker_YF
Util. Pública,UTIL,UTIL.SA
Financeiro,IFNC,IFNC.SA
Imobiliário,IMOB,IMOB.SA
Consumo,ICON,ICON.SA
Industrial,INDX,INDX.SA
Mat. Básicos,IMAT,IMAT.SA
Ibovespa,IBOV,^BVSP
Small Caps,SMLL,SMLL.SA
